epoch,accuracy,loss,val_accuracy,val_loss
0,0.3916448950767517,7.375043869018555,0.5562499761581421,1.0803196430206299
1,0.5509138107299805,0.9491877555847168,0.84375,0.7275961637496948
2,0.6892950534820557,0.7565963268280029,0.78125,0.6653911471366882
3,0.7238903641700745,0.6790036559104919,0.8343750238418579,0.5837534666061401
4,0.7434725761413574,0.6554029583930969,0.796875,0.5462008714675903
5,0.815274178981781,0.5329979658126831,0.9281250238418579,0.3325449526309967
6,0.8518276810646057,0.464165061712265,0.925000011920929,0.3022330403327942
7,0.87467360496521,0.35830143094062805,0.953125,0.16916920244693756
8,0.8994777798652649,0.31003066897392273,0.9437500238418579,0.2327730357646942
9,0.9014360308647156,0.30485376715660095,0.918749988079071,0.25671616196632385
10,0.9007833003997803,0.2817903459072113,0.965624988079071,0.14356708526611328
11,0.9216710329055786,0.2547568082809448,0.9593750238418579,0.15025725960731506
12,0.9262402057647705,0.22658473253250122,0.981249988079071,0.09695537388324738
13,0.9353786110877991,0.20075653493404388,0.9781249761581421,0.10478925704956055
14,0.9308093786239624,0.20702189207077026,0.949999988079071,0.17268913984298706
