epoch,accuracy,loss,val_accuracy,val_loss
0,0.3642297685146332,2.0873374938964844,0.6625000238418579,0.9246915578842163
1,0.6083551049232483,0.8904284834861755,0.612500011920929,0.8607040643692017
2,0.7375978827476501,0.7221977114677429,0.762499988079071,0.6595953702926636
3,0.7911227345466614,0.5872365236282349,0.7250000238418579,0.6950782537460327
4,0.8289816975593567,0.5031890273094177,0.828125,0.5494958758354187
5,0.8544386625289917,0.4561900496482849,0.824999988079071,0.48556914925575256
6,0.8413838148117065,0.44983795285224915,0.796875,0.5576742887496948
7,0.8798955678939819,0.37218141555786133,0.856249988079071,0.38814255595207214
8,0.9210183024406433,0.2982911765575409,0.90625,0.3575218915939331
9,0.9092689156532288,0.3017234802246094,0.890625,0.3486115038394928
10,0.9360313415527344,0.2425156682729721,0.909375011920929,0.3283838629722595
11,0.942558765411377,0.22436174750328064,0.8968750238418579,0.34541213512420654
12,0.9360313415527344,0.22682251036167145,0.8843749761581421,0.3464813828468323
13,0.9543080925941467,0.18286415934562683,0.90625,0.2889491021633148
14,0.960182785987854,0.16286611557006836,0.918749988079071,0.2451009452342987
