epoch,accuracy,loss,val_accuracy,val_loss
0,0.36814621090888977,1.2668687105178833,0.41874998807907104,1.0587526559829712
1,0.6109660863876343,0.829277753829956,0.8500000238418579,0.4520335793495178
2,0.7591384053230286,0.608993649482727,0.862500011920929,0.37174224853515625
3,0.8472585082054138,0.4069622755050659,0.949999988079071,0.16587357223033905
4,0.8844647407531738,0.3045384883880615,0.9624999761581421,0.13407409191131592
5,0.9275456666946411,0.22298143804073334,0.971875011920929,0.09654305130243301
6,0.9255874752998352,0.22250069677829742,0.9624999761581421,0.11481299251317978
7,0.9386423230171204,0.16890057921409607,0.9781249761581421,0.07614318281412125
8,0.9471279382705688,0.1747230738401413,0.965624988079071,0.10567321628332138
9,0.9647519588470459,0.13621819019317627,0.9937499761581421,0.04034452885389328
